,State,Party,Type,Twitter,Name,twitter_display_name
0,AZ,R,Senator,JeffFlake,Jeff Flake,Jeff Flake
1,AZ,R,Senator,SenJonKyl,Jon Kyl,U.S. Senator Jon Kyl
2,CA,D,Representative,reppeteaguilar,Peter Aguilar,Rep. Pete Aguilar
3,CA,D,Representative,repcardenas,Tony Cardenas,Rep. Tony Cárdenas
4,CA,R,Representative,DarrellIssa,Darrell Issa,Darrell Issa
5,CA,R,Representative,SteveKnight25,Steve Knight,Steve Knight
6,CA,R,Representative,DanaRohrabacher,Dana Rohrabacher,Dana Rohrabacher
7,CA,R,Representative,RepEdRoyce,Ed Royce,Ed Royce
8,CA,R,Representative,RepDavidValadao,David Valadao,Rep. David Valadao
9,CO,R,Representative,RepMikeCoffman,Mike Coffman,Mike Coffman
10,CO,D,Representative,RepJaredPolis,Jared Polis,Former Rep. Jared Polis
11,DE,D,Senator,ChrisCoons,Christopher Coons,Senator Chris Coons
12,FL,D,Representative,repcharliecrist,Charles Crist,Congressman Charlie Crist
13,FL,R,Representative,TomRooney,Tom Rooney,Tom Rooney
14,FL,R,Representative,RosLehtinen,Ileana Ros-Lehtinen,Ileana Ros-Lehtinen
15,FL,D,Senator,SenBillNelson,Bill Nelson,Bill Nelson
16,GA,D,Representative,sanfordbishop,Sanford Bishop,"Sanford Bishop, Jr."
17,GA,R,Senator,SenatorIsakson,Johnny Isakson,Johnny Isakson
18,HI,D,Representative,ColleenHanabusa,Colleen Hanabusa,Colleen Hanabusa
19,IA,R,Representative,RepRodBlum,Rodney Blum,Rod Blum
20,IA,R,Representative,RepDavidYoung,David Young,David Young
21,ID,R,Representative,Raul_Labrador,Raul Labrador,Raúl R. Labrador
22,IL,D,Representative,RepGutierrez,Luis Gutierrez,Luis V. Gutierrez
23,IL,R,Representative,RepHultgren,Randy Hultgren,Rep. Randy Hultgren
24,IL,R,Representative,PeterRoskam,Peter Roskam,Peter Roskam
25,IN,D,Representative,repandrecarson,Andre Carson,André Carson
26,IN,R,Representative,ToddRokita,Todd Rokita,Todd Rokita (Archived)
27,IN,D,Senator,SenDonnelly,Joe Donnelly,Archive: Senator Joe Donnelly
28,MA,D,Representative,nikiinthehouse,Niki Tsongas,Mark James
29,MD,D,Representative,RepCummings,Elijah Cummings,Elijah E. Cummings
30,MD,D,Representative,RepJohnDelaney,John Delaney,Archive: Rep. John Delaney
31,ME,R,Representative,RepPoliquin,Bruce Poliquin,Rep. Bruce Poliquin
32,MI,R,Representative,RepJackBergman,John Bergman,Rep. Jack Bergman
33,MI,D,Representative,repsandylevin,Sandy Levin,Rep. Sandy Levin
34,MN,D,Representative,keithellison,Keith Ellison,Keith Ellison
35,MN,D,Representative,USRepRickNolan,Rick Nolan,Fmr. US Rep. Rick Nolan
36,MN,R,Representative,ErikPaulsen,Erik Paulsen,Erik Paulsen
37,MN,D,Representative,RepTimWalz,Tim Walz,Fmr. Rep. Tim Walz
38,MO,D,Representative,lacyclaymo1,Lacy Clay,Lacy Clay MO1st
39,MO,D,Senator,ClairecMc,Claire McCaskill,Claire McCaskill
40,MS,R,Representative,GreggHarper,Gregg Harper,Gregg Harper
41,NC,R,Representative,RepWalterJones,Walter Jones,Rep. Walter Jones
42,NC,R,Representative,RepMarkMeadows,Mark Meadows,Mark Meadows
43,NC,R,Representative,reppittenger,Robert Pittenger,Congressman Robert Pittenger
44,ND,D,Senator,SenatorHeitkamp,Heidi Heitkamp,Archive: Sen. Heidi Heitkamp
45,NH,D,Representative,RepSheaPorter,Carol Shea-Porter,Rep. Shea-Porter
46,NJ,R,Representative,RepLanceNJ7,Leonard Lance,Rep. Leonard Lance
47,NJ,R,Representative,RepTomMacArthur,Thomas MacArthur,Archive: Tom MacArthur
48,NM,D,Representative,RepLujanGrisham,Michelle Lujan Grisham,MichelleLujanGrisham
49,NV,D,Representative,RubenKihuen,Ruben Kihuen,Ruben J. Kihuen
50,NV,D,Representative,RosenforNevada,Jacklyn Rosen,Jacky Rosen
51,NV,D,Senator,sencortezmasto,Catherine Cortez Masto,Senator Cortez Masto
52,NV,R,Senator,SenDeanHeller,Dean Heller,Dean Heller
53,NY,D,Representative,YvetteClarke,Yvette Clarke,Yvette Clarke
54,NY,R,Representative,RepDanDonovan,Daniel Donovan,Archive: Dan Donovan
55,NY,R,Representative,JohnFasoNY,John Faso,John Faso
56,NY,R,Representative,ClaudiaTenney,Claudia Tenney,Claudia Tenney
57,OH,R,Representative,RepJimRenacci,Jim Renacci,Rep. Jim Renacci
58,OK,R,Representative,RepRussell,Steve Russell,Rep. Steve Russell
59,OK,R,Senator,JimInhofe,James Inhofe,Sen. Jim Inhofe
60,PA,R,Representative,reploubarletta,Lou Barletta,Lou Barletta
61,PA,R,Representative,RepFitzpatrick,Brian Fitzpatrick,Mike Fitzpatrick
62,PA,R,Representative,RepTomMarino,Tom Marino,Korey Young
63,PA,R,Representative,KeithRothfus,Keith Rothfus,Keith Rothfus
64,PA,R,Representative,SenatorSmucker,Lloyd Smucker,Senator S
65,SC,R,Representative,TGowdySC,Trey Gowdy,Trey Gowdy
66,SC,R,Representative,RepSanfordSC,Mark Sanford,Mark Sanford (Archived)
67,TN,R,Representative,RepDianeBlack,Diane Black,Diane Black
68,TN,R,Representative,RepJohnDuncanJr,John Duncan,Rep John Duncan Jr.
69,TN,R,Senator,SenBobCorker,Bob Corker,Senator Bob Corker
70,TX,R,Representative,RepJoeBarton,Joe Barton,Joe Barton
71,TX,R,Representative,RepHensarling,Jeb Hensarling,Archive: Rep. Jeb Hensarling
72,TX,R,Representative,SamsPressShop,Sam Johnson,Sam Johnson
73,TX,D,Representative,RepBetoORourke,Beto O'Rourke,Rep. Beto O'Rourke
74,TX,R,Representative,JudgeTedPoe,Ted Poe,Ted Poe
75,TX,R,Representative,PeteSessions,Pete Sessions,Pete Sessions
76,TX,R,Representative,LamarSmithTX21,Lamar Smith,Lamar Smith
77,UT,R,Senator,SenOrrinHatch,Orrin Hatch,Senator Hatch Office
78,VA,R,Representative,RepComstock,Barbara Comstock,Barbara Comstock
79,VA,R,Representative,GarrettforVA,Thomas Garrett,Tom Garrett
80,VA,R,Representative,RepGoodlatte,Bob Goodlatte,Bob Goodlatte
81,VA,R,Representative,ScotttaylorVA,Scott Taylor,Scott Taylor TEXT “Taylor” to 41411
82,VT,D,Senator,SenatorLeahy,Patrick Leahy,Sen. Patrick Leahy
83,WA,R,Representative,TeamReichert,Dave Reichert,Team Reichert
84,AL,R,Senator,SenShelby,Richard Shelby,Richard Shelby
85,AL,D,Senator,DougJones,Doug Jones,Doug Jones
86,AL,R,Representative,RepByrne,Bradley Byrne,Rep. Bradley Byrne
87,AL,R,Representative,RepMarthaRoby,Martha Roby,Rep. Martha Roby
88,AL,R,Representative,RepMikeRogersAL,Mike Rogers,Mike Rogers
89,AL,R,Representative,Robert_Aderholt,Robert Aderholt,Robert Aderholt
90,AL,R,Representative,RepMoBrooks,Mo Brooks,Mo Brooks
91,AL,R,Representative,USRepGaryPalmer,Gary Palmer,Gary Palmer
92,AL,D,Representative,RepTerriSewell,Terri A. Sewell,Rep. Terri A. Sewell
93,AK,R,Senator,SenDanSullivan,Dan Sullivan,Sen. Dan Sullivan
94,AK,R,Senator,lisamurkowski,Lisa Murkowski,Sen. Lisa Murkowski
95,AK,R,Representative,RepDonYoung,Don Young,Rep. Don Young
96,AS,R,Representative,RepAmata,Amata Radewagen,Rep. Aumua Amata🇦🇸
97,AZ,R,Senator,SenMcSallyAZ,Martha McSally,Martha McSally
98,AZ,D,Senator,SenatorSinema,Kyrsten Sinema,Kyrsten Sinema
99,AZ,D,Representative,TomOHalleran,Tom O'Halleran,Tom O'Halleran
100,AZ,D,Representative,RepKirkPatrick,Ann Kirkpatrick,Rep. Ann Kirkpatrick
101,AZ,D,Representative,RepRaulGrijalva,Raul Grijalva,Raul M. Grijalva
102,AZ,R,Representative,RepGosar,Paul A. Gosar,"Rep. Paul Gosar, DDS"
103,AZ,R,Representative,AndyBiggs4AZ,Andy Biggs,Andy Biggs
104,AZ,R,Representative,RepDavid,David Schweikert,Rep. David Schweikert
105,AZ,D,Representative,RepRubenGallego,Ruben Gallego,Ruben Gallego
106,AZ,R,Representative,RepDLesko,Debbie Lesko,Congresswoman Debbie Lesko
107,AZ,D,Representative,RepGregStanton,Greg Stanton,Rep. Greg Stanton
108,AR,R,Senator,SenTomCotton,Tom Cotton,Tom Cotton
